Participant,Area,Contrast,SizeType,Slope,Offset
PLTA,V1,Mid,original_paper,-0.042455,2.13
PLTA,V1,High,radial,0.31638,0.45554
PLTA,V1,High,polar,0.38726,0.558
PLTA,V1,High,average,0.35182,0.50677
PLTA,V1,High,original_paper,0.38726,0.558
PLTA,V2,Low,radial,0.47423,-0.17347
PLTA,V2,Low,polar,0.86587,-0.85772
PLTA,V2,Low,average,0.67005,-0.5156
PLTA,V2,Low,original_paper,0.86587,-0.85772
PLTA,V2,Mid,radial,0.48086,-0.043067
PLTA,V2,Mid,polar,0.27271,0.91869
PLTA,V2,Mid,average,0.37679,0.43781
PLTA,V2,Mid,original_paper,0.27271,0.91869
PLTA,V2,High,radial,0.32385,0.73183
PLTA,V2,High,polar,0.8553,-0.38021
PLTA,V2,High,average,0.58958,0.17581
PLTA,V2,High,original_paper,0.8553,-0.38021
PLTA,V3,Low,radial,0.66692,1.6577
PLTA,V3,Low,polar,1.9627,-2.0781
PLTA,V3,Low,average,1.3148,-0.21022
PLTA,V3,Low,original_paper,1.9627,-2.0781
PLTA,V3,Mid,radial,0.82032,0.45526
PLTA,V3,Mid,polar,0.53543,1.5161
PLTA,V3,Mid,average,0.67788,0.98567
PLTA,V3,Mid,original_paper,0.53543,1.5161
PLTA,V3,High,radial,0.90544,0.88733
PLTA,V3,High,polar,1.1842,-0.087138
PLTA,V3,High,average,1.0448,0.40009
PLTA,V3,High,original_paper,1.1842,-0.087138
IIGL,V1,Low,radial,0.21237,-0.15128
IIGL,V1,Low,polar,0.44712,3.8277
IIGL,V1,Low,average,0.32974,1.8382
IIGL,V1,Low,original_paper,0.44712,3.8277
IIGL,V1,Mid,radial,0.10885,0.71281
IIGL,V1,Mid,polar,0.018579,1.2515
IIGL,V1,Mid,average,0.063717,0.98213
IIGL,V1,Mid,original_paper,0.018579,1.2515
IIGL,V1,High,radial,0.20839,0.32545
IIGL,V1,High,polar,0.72794,0.96917
IIGL,V1,High,average,0.46817,0.64731
IIGL,V1,High,original_paper,0.72794,0.96917
IIGL,V2,Low,radial,0.32493,0.05138
IIGL,V2,Low,polar,0.7358,-0.010307
IIGL,V2,Low,average,0.53036,0.020536
IIGL,V2,Low,original_paper,0.7358,-0.010307
IIGL,V2,Mid,radial,0.53494,-0.65518
IIGL,V2,Mid,polar,0.056024,1.6785
IIGL,V2,Mid,average,0.29548,0.51167
IIGL,V2,Mid,original_paper,0.056024,1.6785
IIGL,V2,High,radial,0.28714,0.92646
IIGL,V2,High,polar,1.1867,-0.98205
IIGL,V2,High,average,0.73692,-0.027795
IIGL,V2,High,original_paper,1.1867,-0.98205
IIGL,V3,Low,radial,0.43843,1.7323
IIGL,V3,Low,polar,1.015,1.3165
IIGL,V3,Low,average,0.72669,1.5244
IIGL,V3,Low,original_paper,1.015,1.3165
IIGL,V3,Mid,radial,0.43665,0.48476
IIGL,V3,Mid,polar,0.069787,2.5186
IIGL,V3,Mid,average,0.25322,1.5017
IIGL,V3,Mid,original_paper,0.069787,2.5186
